summary,loss_category
"At IRMO on 2020-08-06 at 19:20, a Flash Flood occurred, eventually ending at IRMO on 2020-08-06 at 19:50.  The population mean density was unknown, with a minimum density of unknown, a maximum density of unknown, and an estimated unknown people near the event when it occurred. Scattered slow-moving thunderstorms developed, some of which produced wind damage, and some produced locally heavy rain and flooding. Flood waters closed Corley Mill Rd where it crosses Twelve Mile Creek just NW of River Bluff HS.",Minor
"At SPRINGDALE on 2016-09-12 at 16:23, a Flood occurred, eventually ending at ARTHUR on 2016-09-12 at 16:38. Land use within 1.0 km: 44.9% class 130; 14.1% class 255. Soils: 8.4% class 255; 2.7% class 0. Population density averages 184.7 (max 255.0). The population mean density was 184.74, with a minimum density of 85, a maximum density of 255, and an estimated 19,028 people near the event when it occurred. Scattered thunderstorms developed along a stalled front over the area. An isolated severe thunderstorm produced wind damage. These thunderstorms also produced locally heavy rain and flooding. Street flooding on Hebron Drive and Leaphart Road.",Minor
"At LEXINGTON on 2015-10-04 at 05:00, a Flash Flood occurred, eventually ending at LEXINGTON on 2015-10-04 at 07:45. Land use within 1.0 km: 67.0% class 131; 19.6% class 255. Soils: 12.6% class 255; 3.0% class 0. Population density averages 211.0 (max 211.0). The population mean density was 211.0, with a minimum density of 211, a maximum density of 211, and an estimated 21,733 people near the event when it occurred. Heavy rain in the Midlands...Pee Dee produced flash flooding in across the area. Numerous dams were breached along with numerous bridge and roadways flooded and damaged. NWS employee reports flooding at Silverstone road and Whiteford Way.",Catastrophic
"At GREEN HILL on 2018-06-11 at 20:36, a Flash Flood occurred, eventually ending at CAYCE on 2018-06-11 at 21:00. Land use within 1.0 km: 37.3% class 132; 18.3% class 0. Soils: 4.8% class 255; 2.7% class 153. Population density averages 213.5 (max 231.0). The population mean density was 213.48, with a minimum density of 85, a maximum density of 231, and an estimated 21,988 people near the event when it occurred. Strong daytime heating, and surface boundaries, produced scattered severe thunderstorms in the afternoon and evening. Law enforcement closed Knox Abbott Dr near State St due to rapidly moving water over the roadway. Video of the officers blocking the roadway was sent by a trained spotter via social media.",Minor
"At HAPPY TOWN on 2016-10-08 at 07:00, a Flood occurred, eventually ending at KATHWOOD on 2016-10-08 at 10:00. Land use within 1.0 km: 21.1% class 130; 19.7% class 255. Soils: 14.1% class 255; 3.7% class 229. Population density averages 163.3 (max 231.0). The population mean density was 163.31, with a minimum density of 85, a maximum density of 231, and an estimated 16,984 people near the event when it occurred. Hurricane Matthew impacted the region on the night of Friday, October 7th and during much of the day on Saturday, October 8th. Tropical Storm force wind gusts were observed across most of the SC Midlands and Central Savannah River Area. Heavy rain also occurred, but was mainly confined to the eastern Midlands and parts of the lower Central Savannah River Area and resulted in flash flooding. Reported numerous roads covered with water due to poor drainage across portion of West Columbia.",Major
"At IRMO on 2015-09-05 at 01:30, a Flash Flood occurred, eventually ending at IRMO on 2015-09-05 at 02:15. Land use within 1.0 km: 46.0% class 132; 21.5% class 130. Soils: 11.7% class 255; 7.9% class 170. Population density averages 204.3 (max 212.0). The population mean density was 204.33, with a minimum density of 110, a maximum density of 212, and an estimated 21,659 people near the event when it occurred. Scattered thunderstorms moved though the Midlands and produced some large hail, wind damage, and very intense rains that produced flash flooding. Social Media report via Facebook showed a home with a flooded basement.",Major
"At SPRINGDALE on 2015-10-04 at 04:06, a Flash Flood occurred, eventually ending at SPRINGDALE on 2015-10-04 at 07:06. Land use within 1.0 km: 49.0% class 255; 31.9% class 131. Soils: 7.9% class 255; 2.2% class 154. Population density averages 211.0 (max 211.0). The population mean density was 211.0, with a minimum density of 211, a maximum density of 211, and an estimated 21,733 people near the event when it occurred. Heavy rain in the Midlands...Pee Dee produced flash flooding in across the area. Numerous dams were breached along with numerous bridge and roadways flooded and damaged. SC Highway Patrol reports Westgate Drive at Wilton Road closed due to flooding.",Catastrophic
"At SPRINGDALE on 2015-06-04 at 02:36, a Flash Flood occurred, eventually ending at CAYCE on 2015-06-04 at 04:06. Land use within 1.0 km: 36.9% class 255; 24.0% class 130. Soils: 9.0% class 255; 3.5% class 230. Population density averages 184.4 (max 255.0). The population mean density was 184.45, with a minimum density of 85, a maximum density of 255, and an estimated 18,998 people near the event when it occurred. Heavy rains produced around 2 to 5 inches of rain over portions of the Midlands causing flash flooding that closed many roads and washouts on several country roads. Highway Patrol reported flash flooding along Charleston Highway in Cayce.",Minor
"At IRMO on 2015-10-04 at 09:30, a Flash Flood occurred, eventually ending at IRMO on 2015-10-04 at 12:30. Land use within 1.0 km: 54.2% class 204; 29.2% class 131. Soils: 27.4% class 160; 8.4% class 158. Population density averages 193.3 (max 211.0). The population mean density was 193.31, with a minimum density of 113, a maximum density of 211, and an estimated 20,104 people near the event when it occurred. Heavy rain in the Midlands...Pee Dee produced flash flooding in across the area. Numerous dams were breached along with numerous bridge and roadways flooded and damaged. Law enforcement rescued over 60 people from 55 homes in the Coldstream neighborhood between 7:30 AM and 10:30 AM.",Catastrophic
"At DIXIANA on 2017-06-15 at 21:50, a Flood occurred, eventually ending at DIXIANA on 2017-06-15 at 21:55. Land use within 1.0 km: 58.6% class 255; 10.6% class 132. Soils: 15.3% class 255; 2.2% class 131. Population density averages 206.6 (max 231.0). The population mean density was 206.63, with a minimum density of 102, a maximum density of 231, and an estimated 21,283 people near the event when it occurred. An upper disturbance combined with atmospheric instability and moisture to produce scattered severe thunderstorms producing wind damage, along with locally heavy rain with slow moving and training storms, during the evening hours of June 15th into the very early morning hours of June 16th. Roadway was partially covered by water along US Hwy 321 near the Farmers Market.",Minor
"At CLUBHOUSE XRDS on 2013-08-01 at 07:45, a Flash Flood occurred, eventually ending at CLUBHOUSE XRDS on 2013-08-01 at 09:00. Land use within 1.0 km: 76.5% class 255; 2.2% class 78. Soils: 12.2% class 255; 2.2% class 237. Population density averages 174.9 (max 255.0). The population mean density was 174.94, with a minimum density of 85, a maximum density of 255, and an estimated 17,844 people near the event when it occurred. Heavy rains over the Midlands and Pee Dee regions of South Carolina produced some flash flooding that closed several roads around the area and flooding low lying areas with 1 to 2 feet of water. Highway Patrol reported flash flooding on Springhill Road near Hwy 1, and also Walter Taylor and Cannon Place roads were also closed due to flooding.",Minor
"At ARTHUR on 2015-10-04 at 03:30, a Flash Flood occurred, eventually ending at ARTHUR on 2015-10-04 at 06:30. Land use within 1.0 km: 76.2% class 131; 2.0% class 130. Soils: 5.2% class 255; 3.5% class 0. Population density averages 211.0 (max 211.0). The population mean density was 211.0, with a minimum density of 211, a maximum density of 211, and an estimated 21,944 people near the event when it occurred. Heavy rain in the Midlands...Pee Dee produced flash flooding in across the area. Numerous dams were breached along with numerous bridge and roadways flooded and damaged. NWS employee reports Laurel Road at Mineral Springs Road flooded and impassable.",Catastrophic
"At CLUBHOUSE XRDS on 2015-10-10 at 16:50, a Flash Flood occurred, eventually ending at LEXINGTON on 2015-10-10 at 19:15. Land use within 1.0 km: 38.2% class 132; 19.7% class 255. Soils: 21.4% class 170; 6.0% class 255. Population density averages 159.5 (max 212.0). The population mean density was 159.53, with a minimum density of 85, a maximum density of 212, and an estimated 16,432 people near the event when it occurred. Heavy rain falling onto already saturated grounds led to flash flooding. Many roads that had reopened after the previous event were closed again. Lexington County dispatch reports flooding across much of north-central Lexington County. Numerous roads flooded, with too many to name at this time. Some small dams being breached at this time.",Catastrophic
"At IRMO on 2018-10-11 at 07:00, a Flash Flood occurred, eventually ending at IRMO on 2018-10-11 at 09:00. Land use within 1.0 km: 40.0% class 130; 18.3% class 255. Soils: 29.8% class 237; 7.6% class 255. Population density averages 145.6 (max 253.0). The population mean density was 145.63, with a minimum density of 85, a maximum density of 253, and an estimated 14,854 people near the event when it occurred. An area of disturbed weather over the NW Caribbean Sea organized and became Tropical Depression #14 early on Sunday October 7th.    The cyclone continued to organize while moving very slowly north, just east of the Yucatan peninsula, becoming Tropical Storm Michael on Sunday afternoon October 7th.  The cyclone further developed while moving slowly north, reaching Hurricane status Monday morning October 8th.   The cyclone accelerated northward into the Gulf of Mexico while continuing to strengthen, making landfall on the Florida panhandle as a category 4 hurricane Wednesday morning October 10th.   The cyclone then turned to the NE and accelerated further, while weakening over land, moving through the Central Savannah River Area (CSRA) of GA and the Midlands of SC as a Tropical Storm, late Wednesday night October 10th into the morning of Thursday October 11th.  ||The storm spawned 4 weak tornadoes across the Midlands of SC, 3 in Orangeburg Co and 1 in Richland Co. ||Across the Midlands of SC, the highest measured peak wind gust, associated with the cyclone, was 53 MPH at Orangeburg Municipal Airport. Numerous reports of downed trees were received. The highest total rainfall amount was 8.23 inches at the Carolina Sandhills National Wildlife Refuge in central Chesterfield Co SC.  Some reports of flooding were received. Flash flooding occurred along Rawls Creek near the Coldstream and Walden neighborhoods, where some homes and yards were inundated by flood waters.",Severe
"At DIXIANA on 2015-10-04 at 01:10, a Flash Flood occurred, eventually ending at KINSLER on 2015-10-04 at 02:30. Land use within 1.0 km: 71.0% class 238; 5.6% class 239. Soils: 12.7% class 255; 8.9% class 237. Population density averages 210.3 (max 212.0). The population mean density was 210.28, with a minimum density of 175, a maximum density of 212, and an estimated 21,449 people near the event when it occurred. Heavy rain in the Midlands...Pee Dee produced flash flooding in across the area. Numerous dams were breached along with numerous bridge and roadways flooded and damaged. SC Highway Patrol reports flooding on I-77 Southbound at I-26, road closed.",Catastrophic
"At IRMO on 2018-10-11 at 07:00, a Flash Flood occurred, eventually ending at IRMO on 2018-10-11 at 09:00. Land use within 1.0 km: 50.7% class 255; 4.3% class 0. Soils: 8.4% class 255; 2.5% class 0. Population density averages 197.4 (max 255.0). The population mean density was 197.44, with a minimum density of 20, a maximum density of 255, and an estimated 20,534 people near the event when it occurred. An area of disturbed weather over the NW Caribbean Sea organized and became Tropical Depression #14 early on Sunday October 7th.    The cyclone continued to organize while moving very slowly north, just east of the Yucatan peninsula, becoming Tropical Storm Michael on Sunday afternoon October 7th.  The cyclone further developed while moving slowly north, reaching Hurricane status Monday morning October 8th.   The cyclone accelerated northward into the Gulf of Mexico while continuing to strengthen, making landfall on the Florida panhandle as a category 4 hurricane Wednesday morning October 10th.   The cyclone then turned to the NE and accelerated further, while weakening over land, moving through the Central Savannah River Area (CSRA) of GA and the Midlands of SC as a Tropical Storm, late Wednesday night October 10th into the morning of Thursday October 11th.  ||The storm spawned 4 weak tornadoes across the Midlands of SC, 3 in Orangeburg Co and 1 in Richland Co. ||Across the Midlands of SC, the highest measured peak wind gust, associated with the cyclone, was 53 MPH at Orangeburg Municipal Airport. Numerous reports of downed trees were received. The highest total rainfall amount was 8.23 inches at the Carolina Sandhills National Wildlife Refuge in central Chesterfield Co SC.  Some reports of flooding were received. Flash flooding occurred along Corley Mill Rd at the Twelve Mile Creek bridge and near the Saluda River Club community.",Major
"At KINSLER on 2021-08-22 at 13:25, a Flash Flood occurred, eventually ending at KINSLER on 2021-08-22 at 15:00.  The population mean density was unknown, with a minimum density of unknown, a maximum density of unknown, and an estimated unknown people near the event when it occurred. Lines of thunderstorms producing heavy rain repeatedly passed over the same areas in the Midlands. Up to 5 inches of rainfall produced flash flooding in low-lying and urban areas. Spotter posted social media report via Twitter of a stranded vehicle under water and roadway flooded along Circle Street in the Cayce, SC community.",Severe
"At PELION CORPORATE ARP on 2015-10-10 at 19:24, a Flash Flood occurred, eventually ending at PELION CORPORATE ARP on 2015-10-10 at 19:45. Land use within 1.0 km: 89.4% class 204; 1.5% class 205. Soils: 12.3% class 160; 4.9% class 255. Population density averages 211.1 (max 212.0). The population mean density was 211.07, with a minimum density of 211, a maximum density of 212, and an estimated 21,318 people near the event when it occurred. Heavy rain falling onto already saturated grounds led to flash flooding. Many roads that had reopened after the previous event were closed again. SC Highway Patrol reports road washout at Platt Springs and Calks Ferry Road.",Severe
"At SPRINGDALE on 2015-06-04 at 02:34, a Flash Flood occurred, eventually ending at SPRINGDALE on 2015-06-04 at 04:04. Land use within 1.0 km: 42.3% class 130; 24.1% class 255. Soils: 7.0% class 255; 4.1% class 164. Population density averages 143.5 (max 255.0). The population mean density was 143.48, with a minimum density of 85, a maximum density of 255, and an estimated 15,209 people near the event when it occurred. Heavy rains produced around 2 to 5 inches of rain over portions of the Midlands causing flash flooding that closed many roads and washouts on several country roads. Highway Patrol reported multiple roads flooded and impassible in Springdale.",Minor
"At POOLES XRDS on 2015-10-10 at 19:21, a Flash Flood occurred, eventually ending at POOLES XRDS on 2015-10-10 at 19:45. Land use within 1.0 km: 39.4% class 130; 19.2% class 255. Soils: 14.9% class 255; 3.3% class 243. Population density averages 214.5 (max 255.0). The population mean density was 214.49, with a minimum density of 110, a maximum density of 255, and an estimated 22,521 people near the event when it occurred. Heavy rain falling onto already saturated grounds led to flash flooding. Many roads that had reopened after the previous event were closed again. Forts Pond Road and Swansea Road washed out west of Swansea.",Severe
"At PROVIDENCE on 2015-12-30 at 16:31, a Flood occurred, eventually ending at PROVIDENCE on 2015-12-30 at 17:31. Land use within 1.0 km: 23.4% class 130; 12.1% class 115. Soils: 4.9% class 255; 2.2% class 151. Population density averages 162.2 (max 243.0). The population mean density was 162.2, with a minimum density of 85, a maximum density of 243, and an estimated 16,707 people near the event when it occurred. Strong to Severe Thunderstorms produced wind damage along with heavy rainfall as cells trained over the same area. Highway Patrol reported roadway flooding along North Lake Drive and Ashton Lane.",Minor
"At BARR on 2015-10-10 at 19:20, a Flash Flood occurred, eventually ending at BARR on 2015-10-10 at 19:45. Land use within 1.0 km: 66.8% class 255; 5.7% class 130. Soils: 13.7% class 255; 2.4% class 232. Population density averages 142.6 (max 255.0). The population mean density was 142.62, with a minimum density of 85, a maximum density of 255, and an estimated 14,690 people near the event when it occurred. Heavy rain falling onto already saturated grounds led to flash flooding. Many roads that had reopened after the previous event were closed again. SC Highway Patrol reports road washout at Nazareth Road and Cedar Green Drive, Turkey Creek Basin.",Severe
"At IRMO on 2016-09-02 at 15:08, a Flash Flood occurred, eventually ending at IRMO on 2016-09-02 at 17:00. Land use within 1.0 km: 71.3% class 255; 2.0% class 252. Soils: 11.4% class 255; 2.4% class 0. Population density averages 173.1 (max 255.0). The population mean density was 173.11, with a minimum density of 85, a maximum density of 255, and an estimated 17,830 people near the event when it occurred. Tropical Storm Hermine impacted the region, especially on the 2nd with heavy rain and strong gusty winds. The center of TS Hermine tracked to the NE across S and SE GA during the morning of Sept. 2nd, and across the coastal plain of SC during the afternoon and evening of the 2nd. Spotter reported Rawls Creek exceeding its banks in Irmo. Water approaching houses.",Major
"At RIDGE RD XRDS on 2023-06-21 at 00:30, a Flash Flood occurred, eventually ending at RIDGE RD XRDS on 2023-06-21 at 01:30.  The population mean density was unknown, with a minimum density of unknown, a maximum density of unknown, and an estimated unknown people near the event when it occurred. An upper level low was located over northern GA with shortwave energy rotating through the base of the trough. Moderate instability and a moist air mass was present with precipitable water values around 1.8 inches. Scattered storms continued into the overnight hours and trained over areas that had already received heavy rains. Devils Backbone Rd, where it crosses Caney Branch, was flooded. Water entered a nearby home where residents were forced to evacuate.",Major
"At GILBERT on 2013-08-01 at 08:22, a Flash Flood occurred, eventually ending at SUMMIT on 2013-08-01 at 09:22. Land use within 1.0 km: 50.1% class 130; 11.7% class 132. Soils: 9.5% class 255; 6.2% class 20. Population density averages 205.1 (max 252.0). The population mean density was 205.12, with a minimum density of 110, a maximum density of 252, and an estimated 20,922 people near the event when it occurred. Heavy rains over the Midlands and Pee Dee regions of South Carolina produced some flash flooding that closed several roads around the area and flooding low lying areas with 1 to 2 feet of water. Highway Patrol reported Wire road closed between Juniper Springs and Taylor Street in Gilbert.  Other rural roads that were closed included Martin Smith, Sarah Ann, and Neely Wingard due to high water covering the roads.",Minor
"At IRMO on 2016-09-02 at 15:01, a Flash Flood occurred, eventually ending at IRMO on 2016-09-02 at 16:31. Land use within 1.0 km: 47.2% class 130; 3.5% class 110. Soils: 8.9% class 237; 6.7% class 255. Population density averages 218.3 (max 255.0). The population mean density was 218.27, with a minimum density of 128, a maximum density of 255, and an estimated 22,264 people near the event when it occurred. Tropical Storm Hermine impacted the region, especially on the 2nd with heavy rain and strong gusty winds. The center of TS Hermine tracked to the NE across S and SE GA during the morning of Sept. 2nd, and across the coastal plain of SC during the afternoon and evening of the 2nd. Spotter reported Kinley Creek in the Seven Oaks area exceeding its banks with water running over roadways.",Major
"At GILBERT on 2015-06-04 at 01:15, a Flash Flood occurred, eventually ending at GILBERT on 2015-06-04 at 02:30. Land use within 1.0 km: 38.6% class 130; 20.1% class 255. Soils: 18.5% class 255; 2.5% class 243. Population density averages 233.3 (max 255.0). The population mean density was 233.26, with a minimum density of 110, a maximum density of 255, and an estimated 23,793 people near the event when it occurred. Heavy rains produced around 2 to 5 inches of rain over portions of the Midlands causing flash flooding that closed many roads and washouts on several country roads. Dispatch reported flash flooding around Gilbert closing several roads.",Minor
"At SUMMIT on 2015-10-10 at 17:17, a Flash Flood occurred, eventually ending at GILBERT on 2015-10-10 at 19:15. Land use within 1.0 km: 35.3% class 255; 10.7% class 130. Soils: 6.5% class 255; 3.2% class 0. Population density averages 172.6 (max 255.0). The population mean density was 172.58, with a minimum density of 85, a maximum density of 255, and an estimated 18,294 people near the event when it occurred. Heavy rain falling onto already saturated grounds led to flash flooding. Many roads that had reopened after the previous event were closed again. SC Highway Patrol reports road washout at Elzie Hallman Road and Pond Branch Road.",Catastrophic
"At IRMO on 2020-08-06 at 18:10, a Flash Flood occurred, eventually ending at IRMO on 2020-08-06 at 18:30. Land use within 1.0 km: 43.7% class 130; 12.6% class 255. Soils: 15.7% class 255; 3.8% class 243. Population density averages 234.3 (max 255.0). The population mean density was 234.3, with a minimum density of 110, a maximum density of 255, and an estimated 23,664 people near the event when it occurred. Scattered slow-moving thunderstorms developed, some of which produced wind damage, and some produced locally heavy rain and flooding. Flooding at Churchill Apartments off St. Andrews Rd.  Rising water moved about a dozen vehicles in the complex parking lot.  No injuries.",Major
"At ARTHUR on 2016-09-12 at 15:45, a Flood occurred, eventually ending at ARTHUR on 2016-09-12 at 16:00. Land use within 1.0 km: 43.2% class 130; 35.9% class 255. Soils: 3.8% class 255; 2.2% class 36. Population density averages 190.0 (max 211.0). The population mean density was 190.02, with a minimum density of 85, a maximum density of 211, and an estimated 19,382 people near the event when it occurred. Scattered thunderstorms developed along a stalled front over the area. An isolated severe thunderstorm produced wind damage. These thunderstorms also produced locally heavy rain and flooding. Street flooding reported on St Davids Church Rd and Bradley Dr.",Minor
"At IRMO on 2015-07-05 at 19:00, a Flash Flood occurred, eventually ending at IRMO on 2015-07-05 at 19:45. Land use within 1.0 km: 54.0% class 130; 4.3% class 255. Soils: 6.5% class 255; 2.4% class 225. Population density averages 221.8 (max 255.0). The population mean density was 221.84, with a minimum density of 123, a maximum density of 255, and an estimated 22,184 people near the event when it occurred. Thunderstorms trained across portions of northern Lexington and northwest Richland counties causing rainfalls of 2 to 3 inches in an hour which resulted in flash flooding in the Irmo area. Several streams overflowed and flooded apartments complexes and closed a couple of roads. Sheriff and Highway Patrol reported heavy rain and flash flooding in southeast Irmo around the Paces Brook Apartment Complexes.  Several roads were also closed due to the high water including Boulters Lock Road and North Woodrow Road.",Major
"At CAYCE on 2005-07-28 at 15:00, a Flash Flood occurred, eventually ending at CAYCE on 2005-07-28 at 15:40. Land use within 1.0 km: 74.0% class 255; 2.2% class 252. Soils: 7.0% class 255; 2.9% class 154. Population density averages 128.0 (max 255.0). The population mean density was 128.05, with a minimum density of 85, a maximum density of 255, and an estimated 12,933 people near the event when it occurred.  Police reported 1-2 ft of water flooding several roads which were closed to traffic.",Minor
